ID,S_n,HC,CO,Nox,NH3,CO2,PM,type
51,0.768205396,0.001297477,0.035522937,0.004648349,0.000172182,6.459103607,7.99E-05,1
54,1.291943743,0.001399981,0.047691349,0.005065339,0.000197344,8.654887298,8.83E-05,1
48,1.418751779,0.001452377,0.040072293,0.006097858,0.000134771,6.670250372,9.21E-05,1
20,1.507826446,0.001314633,0.041574058,0.005118692,0.000161621,7.311901869,8.63E-05,1
8,1.54804847,0.001736672,0.049771297,0.007070062,0.000158269,9.469980627,0.00010914,1
34,1.615851183,0.001716542,0.043534078,0.005571328,0.000331699,7.681379632,8.11E-05,1
49,1.650361839,0.001359174,0.040591346,0.006035837,5.41E-05,7.606843232,9.60E-05,1
16,1.749144511,0.001442144,0.037303139,0.004160881,0.000226434,8.723940782,6.90E-05,1
17,1.818995171,0.001497116,0.066613802,0.005165478,0.000258248,11.11684315,0.000132327,1
19,1.887095906,0.001769472,0.048835234,0.00606444,0.000311856,11.24021616,8.22E-05,1
27,2.066657439,0.001796176,0.045703031,0.006573173,0.000152669,9.099425625,8.70E-05,1
41,2.087806197,0.001597595,0.052226446,0.005890385,0.000194261,9.286871367,9.38E-05,1
9,2.132869597,0.001054481,0.042393569,0.004643206,0.0000792,7.113224598,0.000075,1
43,2.140772614,0.001473458,0.051123032,0.004902131,0.000304902,12.06320436,5.13E-05,1
50,2.286226339,0.002149325,0.054051688,0.006804031,0.000323469,10.63438856,9.06E-05,1
33,2.324030965,0.001759451,0.046032957,0.004714786,0.000233308,12.78872141,8.51E-05,1
30,2.327031658,0.001301649,0.048536056,0.004651413,0.000266445,8.874412816,8.45E-05,1
29,2.548971307,0.001656508,0.053188581,0.004706413,0.000424913,12.84860726,0.000122986,2
21,2.581725295,0.001745856,0.049489385,0.005498503,0.000411152,10.46558728,0.000106066,2
3,2.639877902,0.001777858,0.057147478,0.005912465,0.000399028,13.13249173,0.00005958,2
2,2.722487812,0.001283536,0.044372024,0.004414452,0.000187793,8.637721755,0.00007497,2
14,2.725065689,0.001748895,0.058422965,0.006246603,0.00030694,10.68933464,0.000111171,2
36,2.761210442,0.001843176,0.047492951,0.004284603,0.000432164,12.65487352,9.76E-05,2
4,2.825846144,0.002105723,0.075806545,0.009277513,0.000239965,13.13057454,0.00014299,2
39,2.853232483,0.001275736,0.045549903,0.004337721,0.000130567,9.741540105,6.71E-05,2
23,2.885418874,0.002160985,0.055891004,0.006298178,0.000447121,12.9718707,0.000108336,2
44,2.921069496,0.001632023,0.058082623,0.005534388,0.000267677,12.04376734,0.000101529,2
31,3.039260583,0.001741515,0.067327215,0.006470493,0.000423771,12.09905589,9.40E-05,2
35,3.050358485,0.001947523,0.075025014,0.005818198,0.00032373,14.15707524,0.000143991,2
18,3.052847202,0.001879055,0.058463906,0.006345564,0.000412122,10.79387956,9.11E-05,2
38,3.194245984,0.002055371,0.070051194,0.005263354,0.000550496,15.94746024,6.27E-05,2
56,3.368166744,0.00188608,0.065835726,0.006742572,0.000271486,13.33505276,0.000109897,2
40,3.368967687,0.002424887,0.081460078,0.006629778,0.000439808,17.06442324,0.000164959,2
26,3.448767445,0.002206008,0.077514134,0.006444295,0.000445278,14.3468966,0.000184544,2
42,3.609287556,0.002358354,0.063899261,0.007575115,0.00048391,14.41662218,0.000118365,2
47,3.751344074,0.002180643,0.078806909,0.007719358,0.000462933,15.40440209,0.000221719,2
11,3.953682278,0.002953315,0.112380217,0.010257807,0.000382141,16.99271812,0.00031558,2
57,4.265638234,0.001959389,0.079855256,0.007394983,0.000556869,18.12453805,0.000173455,3
12,4.459085706,0.002095901,0.109085892,0.006479068,0.000422444,17.1096136,0.000265169,3
45,4.540872498,0.002341484,0.093847371,0.007099692,0.000536706,16.32804254,0.000150661,3
60,4.653682278,0.002688024,0.109377821,0.008998641,0.000586867,17.8213611,0.000307,3
13,4.763522939,0.003267079,0.128896985,0.01166014,0.000662873,23.63849453,0.000261199,3
10,4.856393752,0.003048331,0.141740153,0.009601209,0.000553406,20.45496297,0.000530679,3
37,4.924823822,0.002773421,0.128980506,0.007702746,0.000521733,20.8816351,0.000434496,3
61,5.087806197,0.002529875,0.120739103,0.008111137,0.000495918,21.73827458,0.0003476,3
62,5.574201983,0.002836255,0.139146499,0.009108498,0.000682533,22.33604482,0.00041,3
15,5.844393548,0.002854085,0.156214792,0.011207019,0.000551222,25.34068321,0.000332452,3
46,6.228105323,0.003270553,0.139017051,0.009416835,0.000593991,24.03650765,0.000435602,3
1,7.29336177,0.003704745,0.170791974,0.013230392,0.00071444,27.87961166,0.000589985,3
