year ,mumber,Total,CO,HC,NOx,PM,max,min,mid,Highway,City,Mile-H,Mile-C
2013,13693,13693,1,1,1,1,2190.88,6572.64,4929.48,112.1216431,12404,10.44,425.18
2014,15378,15400,0.917581476,0.864094365,0.876067694,0.835202537,2800,7000,5600,123,15848,11.19,435.2
2015,17139,17181,0.853788166,0.768691753,0.788875628,0.716207775,3472.6899,7306.076414,6402.233686,141.9132469,19230,12.35,445.38
2016,19302,19393,0.799995844,0.689452135,0.716709659,0.617827111,4258.144183,7686.17803,7448.677787,181.9666596,23888.12216,13.1,456.42
2017,21544,21697,0.74348637,0.578553324,0.616218505,0.498380664,5072.724565,8026.863001,8597.412434,223,30086,13.65,463.7
2018,23716,23982,0.710251921,0.528512381,0.57071121,0.443967133,5873.142857,8320.285714,9788.571429,280,36478,14.26,470.39
2019,25388,25769,0.660811179,0.444337462,0.495927963,0.344215766,6522.338941,8439.470983,10807.19008,334,44068,14.96,486.29
2020,27136,27628,0.635640481,0.420057102,0.473789403,0.318082276,7146.149533,8608.571551,11873.27892,383.69875,50771,16.1,503.71
2021,28679,29463,0.602466972,0.392364499,0.447949866,0.289763409,7709.943925,8811.364486,12941.69159,450,59750.85609,16.73996708,512.1661316
2022,30617.75438,31804.94992,0.573942248,0.370153559,0.426035913,0.272490663,8383.343171,9178.975751,14242.631,506.5908719,66503.96648,17.64517729,529.9715388
2023,32339.51469,34044.9303,0.54912651,0.350885733,0.407038962,0.257237753,9036.742054,9511.467532,15496.72071,547,73078,18.28571283,538.7326495
2024,33807.54565,36156.71163,0.52687781,0.33373123,0.390130581,0.243414178,9662.416186,9805.638577,16688.65687,591,78914,19.19517271,540.091561
2025,34978.11106,38106.64283,0.506235468,0.317953834,0.374583805,0.230462712,10250.4951,10056.26177,17799.88597,646.146744,84824.50787,19.8929393,560.4662952
2026,35807.36618,39860.43801,0.48641507,0.302911159,0.3597707,0.21789495,10790.74026,10258.07872,18811.61903,688.5656999,90393.16096,20.63880603,565.8720532
2027,36262.98524,41394.39986,0.466891865,0.28813549,0.345236948,0.205404603,11275.60428,10408.59661,19710.19898,714.5860673,93809.04889,21.43420216,574.679005
2028,36336.50096,42707.89362,0.447500109,0.27342805,0.330789904,0.192982396,11703.74362,10510.84002,20493.30998,737.0841647,96762.54212,22.1759184,586.9882137
2029,36047.37248,43827.43163,0.428478953,0.258909018,0.31654522,0.180962674,12081.33443,10573.80289,21172.29431,750.6269698,98540.40727,22.94927421,595.501682
2030,35434.17594,44797.75473,0.410371963,0.244957238,0.302867214,0.169930794,12419.81175,10609.85499,21768.08799,764,100468,23.57110837,606.2524048
2031,34535.6323,45662.82892,0.393743689,0.232015304,0.290178571,0.160471342,12730.70299,10630.1433,22301.98263,773.0918189,101663.598,24.53935758,620.4310651
2032,33373.84755,46449.33236,0.37884636,0.220354021,0.27873056,0.152877974,13020.979,10641.03436,22787.319,781.8301191,102812.7073,25.31041556,630.8206969
2033,31952.17883,47164.08942,0.365485047,0.209971211,0.268504291,0.147035873,13292.18854,10643.99227,23227.90861,790.0309427,103891.1371,26.3576346,641.4089386
2034,30267.00332,47805.65961,0.353165939,0.200678899,0.259296323,0.142542826,13543.58788,10638.55142,23623.52031,795.2485547,104976,26.76901591,650.3115132
2035,28320.77084,48377.43616,0.341371408,0.192252203,0.250866972,0.138926083,13775.80905,10625.33091,23976.2962,802.4,105806,27.60068108,656.6799772
2036,26341.98189,48892.76751,0.329204749,0.184111839,0.24260725,0.135628367,13992.36042,10607.07691,24293.33018,807.7592743,106832,28.40035257,671.5537944
2037,24355.65234,49371.42382,0.316784277,0.176200571,0.234462512,0.132431981,14198.67966,10587.78712,24584.95704,815.4051909,107682,29.13506018,684.1653169
2038,22385.9082,49831.12422,0.30454983,0.168523708,0.226460257,0.129259332,14399.72672,10570.86169,24860.53581,817.9,108668,29.92311987,692.1831997
2039,20449.41909,50280.61766,0.293148957,0.161206611,0.218764011,0.126156949,14597.95672,10557.70126,25124.95968,821.2830833,108953.8,30.68418613,703.9736439
2040,18554.30809,50718.82043,0.283248227,0.154527785,0.211698708,0.1232697,14793.00474,10547.63849,25378.1772,823,109470,31.42240436,713.8553646
2041,16704.84777,51140.13879,0.275326725,0.148849206,0.205671365,0.120784249,14983.17883,10539.13252,25617.82744,821.8246503,109313.6628,32.21209303,722.1214855
2042,14906.88781,51540.08822,0.269515537,0.144439359,0.200982343,0.118837389,15167.0849,10530.94895,25842.05437,819.4,108991.1519,32.94870393,734.0271166
2043,13170.38212,51918.92196,0.265617428,0.141345284,0.197688256,0.117473085,15344.70754,10522.87459,26051.33983,817.2,108698.5225,33.77249354,742.1795821
2044,11506.23997,52278.52627,0.263174788,0.13934649,0.195558918,0.116592926,15516.51921,10515.04786,26246.9592,814.6,108352.6877,34.47892646,756.496513
2045,9925.660056,52621.45758,0.261714423,0.138128752,0.194261581,0.116056543,15683.20339,10507.75188,26430.50231,811.5,107940.3463,35.25219935,762.5150733
2046,8438.780328,52949.43377,0.260862498,0.13741187,0.193497989,0.115741131,15845.20688,10501.10973,26603.11716,806.7,107301.8821,36.0312014,773.259933
2047,7054.884057,53263.54309,0.260368679,0.137002826,0.19306115,0.115558424,16002.79708,10495.13073,26765.61528,801.3,106583.61,36.73449356,784.4099059
2048,5782.430538,53564.30982,0.260077368,0.136765191,0.192807225,0.115451939,16156.07785,10489.7262,26918.50577,795,105745.6258,37.64388558,790.2063805
2049,4629.328263,53852.103,0.259908593,0.136623628,0.192655958,0.115388504,16305.10981,10484.79102,27062.20217,786,104548.5055,38.37948343,810.5763161
2050,3602.768328,54127.04318,0.259810126,0.136533618,0.192559778,0.11534817,16449.88109,10480.185,27196.9771,773.62,102901.8,39.11612707,818.6571482
