year ,mumber,Total (include EV),max,min,mid
2013,13693,13693,2190.88,6572.64,4929.48
2014,15378,15400,2800,7000,5600
2015,17139,17181,3472.6899,7306.076414,6402.233686
2016,19302,19393,4258.144183,7686.17803,7448.677787
2017,21544,21697,5072.724565,8026.863001,8597.412434
2018,23716,23982,5873.142857,8320.285714,9788.571429
2019,25388,25769,6522.338941,8439.470983,10807.19008
2020,27136,27628,7146.149533,8608.571551,11873.27892
2021,28679,29463,7709.943925,8811.364486,12941.69159
2022,30617.75438,31804.94992,8383.343171,9178.975751,14242.631
2023,32339.51469,34044.9303,9036.742054,9511.467532,15496.72071
2024,33807.54565,36156.71163,9662.416186,9805.638577,16688.65687
2025,34978.11106,38106.64283,10250.4951,10056.26177,17799.88597
2026,35807.36618,39860.43801,10790.74026,10258.07872,18811.61903
2027,36262.98524,41394.39986,11275.60428,10408.59661,19710.19898
2028,36336.50096,42707.89362,11703.74362,10510.84002,20493.30998
2029,36047.37248,43827.43163,12081.33443,10573.80289,21172.29431
2030,35434.17594,44797.75473,12419.81175,10609.85499,21768.08799
2031,34535.6323,45662.82892,12730.70299,10630.1433,22301.98263
2032,33373.84755,46449.33236,13020.979,10641.03436,22787.319
2033,31952.17883,47164.08942,13292.18854,10643.99227,23227.90861
2034,30267.00332,47805.65961,13543.58788,10638.55142,23623.52031
2035,28320.77084,48377.43616,13775.80905,10625.33091,23976.2962
2036,26341.98189,48892.76751,13992.36042,10607.07691,24293.33018
2037,24355.65234,49371.42382,14198.67966,10587.78712,24584.95704
2038,22385.9082,49831.12422,14399.72672,10570.86169,24860.53581
2039,20449.41909,50280.61766,14597.95672,10557.70126,25124.95968
2040,18554.30809,50718.82043,14793.00474,10547.63849,25378.1772
2041,16704.84777,51140.13879,14983.17883,10539.13252,25617.82744
2042,14906.88781,51540.08822,15167.0849,10530.94895,25842.05437
2043,13170.38212,51918.92196,15344.70754,10522.87459,26051.33983
2044,11506.23997,52278.52627,15516.51921,10515.04786,26246.9592
2045,9925.660056,52621.45758,15683.20339,10507.75188,26430.50231
2046,8438.780328,52949.43377,15845.20688,10501.10973,26603.11716
2047,7054.884057,53263.54309,16002.79708,10495.13073,26765.61528
2048,5782.430538,53564.30982,16156.07785,10489.7262,26918.50577
2049,4629.328263,53852.103,16305.10981,10484.79102,27062.20217
2050,3602.768328,54127.04318,16449.88109,10480.185,27196.9771
