Year,Number,Total (include EV),Aggressive,Calm,Neutral
2013,12670.14,12670.14,2027.2224,6081.6672,4561.2504
2014,14576.11,14598.11,2654.201818,6635.504545,5308.403636
2015,16242.45,16284.45,3286.80228,6931.226873,6066.420847
2016,18483.54,18574.54,4071.126503,7372.660047,7130.753451
2017,20753.67,20906.67,4882.571713,7743.034335,8281.063953
2018,22965.23,23231.23,5689.280816,8059.81449,9482.134694
2019,24995.38,25376.38,6428.364543,8301.192923,10646.82253
2020,26848.9,27340.9,7078.48633,8506.515047,11755.89862
2021,28634.59,29418.59,7698.322617,8798.082991,12922.18439
2022,30366.09088,31553.28642,8305.657285,9128.803589,14118.82555
2023,31932.47709,33637.8927,8903.686687,9443.174952,15291.03106
2024,33299.06824,35648.23421,9485.741427,9735.783429,16426.70935
2025,34422.16583,37550.69761,10042.514,9999.120443,17509.06317
2026,35254.31738,39307.38921,10563.39093,10225.11564,18518.88264
2027,35754.98107,40886.3957,11039.2054,10407.74481,19439.4455
2028,35902.92982,42274.32248,11465.68285,10545.89627,20262.74335
2029,35701.79883,43481.85798,11845.07203,10644.24649,20992.53947
2030,35174.23063,44537.80943,12184.65241,10711.33575,21641.82128
2031,34347.25319,45474.44981,12492.80548,10755.84048,22225.80385
2032,33238.38137,46313.86618,12775.25935,10783.45682,22755.15001
2033,31852.80476,47064.71536,13034.12629,10796.43739,23234.15168
2034,30191.89071,47730.547,13270.13945,10795.74944,23664.65811
2035,28263.31802,48319.98335,13485.46518,10783.44373,24051.07444
2036,26298.95087,48849.73648,13684.57425,10763.25438,24401.90785
2037,24325.20813,49340.9796,13873.26229,10739.71475,24728.00256
2038,22366.0756,49811.29162,14056.39726,10716.39126,25038.5031
2039,20437.55869,50268.75726,14236.22805,10694.69599,25337.83322
2040,18547.73234,50712.24467,14412.41431,10674.06892,25625.76144
2041,16701.42309,51136.71411,14583.49446,10653.18606,25900.03359
2042,14905.21034,51538.41075,14748.3531,10631.06364,26158.99401
2043,13169.54961,51918.08945,14907.15397,10607.69488,26403.24061
2044,11505.83284,52278.11915,15060.52788,10583.41467,26634.1766
2045,9925.462951,52621.26048,15209.22725,10558.63763,26853.3956
2046,8438.685657,52949.3391,15353.74312,10533.59017,27062.00581
2047,7054.839098,53263.49813,15494.37421,10508.36774,27260.75619
2048,5782.430538,53564.30982,15631.25628,10482.96124,27450.0923
2049,4629.328263,53852.103,15764.45547,10457.3239,27630.32363
2050,3602.768328,54127.04318,15893.99072,10431.38723,27801.66523
